Relay URL,Latitude,Longitude,IsBitChat
relay.nostu.be:443,40.4167,-3.70329,1
relay.nostx.io,43.6532,-79.3832,1
relay.btcforplebs.com,43.6532,-79.3832,1
nostr-verified.wellorder.net,45.5201,-122.99,1
portal-relay.pareto.space,49.0291,8.35696,1
relay.damus.io,43.6532,-79.3832,1
nostr.snowbla.de:443,60.1699,24.9384,1
relay.nostrcheck.me,43.6532,-79.3832,1
relay.trustr.ing,43.6548,-79.3885,1
nfrelay.app,43.6532,-79.3832,0
nostr.mannuk.rocks,51.5072,-0.127586,0
nostr.cltrrd.us,43.6532,-79.3832,0
relay.hugosplash.com,50.4754,12.3683,0
nostrlab.beitmenotyou.online,43.6532,-79.3832,0
relay.sovbit.host,60.1699,24.9384,0
nostr.mtrj.cz,50.073,14.4559,0
boadee.babystepsbtc.com,43.6532,-79.3832,0
nostrel.fbarone.net,43.6532,-79.3832,0
public.crostr.com:443,43.6532,-79.3832,0
cyberspace.nostr1.com:443,40.7057,-74.0136,0
relay1.blackbyte.nl,51.7125,6.02361,0
nostr.21mio.space,49.0291,8.35696,0
bitcoinmajlis.nostr1.com,40.7057,-74.0136,0
relay.398ja.xyz:443,39.1008,-94.5811,0
relay.nostrops.com,32.71,-96.6745,0
willow.timegate.co,43.6532,-79.3832,0
git.shakespeare.diy,43.6532,-79.3832,0
relay.sovereignhybridcompute.com,40.7128,-74.006,0
nostr.anhkagi.net,50.6924,3.20113,0
nostr.cypherpunk.today,60.1699,24.9384,0
relay.highlighter.com,60.1699,24.9384,0
shu04.shugur.net,25.2048,55.2708,0
relay.powr.build,43.6532,-79.3832,0
relay.sagittarius.copylaradio.com:443,43.7775,2.18885,0
relay.bitcoinaudio.co,43.6532,-79.3832,0
powrelay.xyz,52.3947,4.66399,0
news.utxo.one,43.6532,-79.3832,0
xmr.usenostr.org,49.0291,8.35696,0
nostr-relay.dont-panic.dev,49.0322,8.5735,0
custom.fiatjaf.com,50.1109,8.68213,0
relay.klockenga.xyz,33.7501,-84.3885,0
outbox.cyphernomad.com,43.6532,-79.3832,0
nostr.slothy.win,43.6532,-79.3832,0
social.olsentribe.fyi,42.3601,-71.0589,0
chat.wisp.talk,49.4543,11.0746,0
relay.infinityover21.org,38.958,-77.3592,0
relay.nas.codingmerc.com,32.7157,-117.161,0
relay.d11n.net,53.0839,8.80449,0
wot.grapevine.network,40.8302,-74.1299,0
nostr.dontyou.click,60.1699,24.9384,0
relay.shawnyeager.com,36.1659,-86.7844,0
trending.relays.land,50.1109,8.68213,0
relay.satsdisco.com,43.6532,-79.3832,0
haven.obscureindex.com,38.7475,-77.5317,0
relay.freeplace.nl,52.4608,6.56528,0
nostr.dpinkerton.com:443,-33.8688,151.209,0
beeswax.hivetalk.org,40.8302,-74.1299,0
poe.nostr1.com,40.7057,-74.0136,0
relay.tinfoilhash.com,40.7608,-111.891,0
relay.enclaved.org,60.1699,24.9384,0
relay.jerseyplebs.com,43.6532,-79.3832,0
hortopato.cc,52.6907,4.8181,0
relay.allsocial.me,41.8967,12.4822,0
relay.inkan.cc,39.1008,-94.5811,0
purplepag.es,60.1699,24.9384,0
nostr.azuki.blue,43.6532,-79.3832,0
ngit.danconwaydev.com,60.1699,24.9384,0
relay.libertas-primordium.com,39.7392,-104.99,0
relay.ziomc.com,50.0755,14.4378,0
relay.nostrplebs.com,60.1699,24.9384,0
nostr.cloud.vinney.xyz,40.8302,-74.1299,0
nostr-privrelay.mamemo.online,43.6532,-79.3832,0
relay.bitmacro.io,48.8566,2.35222,0
nostr.1sat.org,1.35208,103.82,0
relay.bulbasaur.fun,34.0549,-118.243,0
dwebcamp.nos.social,40.8302,-74.1299,0
